arch,magnitude,n_extra_rescue,n_broke_by_steering,n_no_change_vs_baseline,delta_net_vs_baseline,n_total
tsae,-7.0,3,7,51,-4,61
tsae,-6.0,4,6,51,-2,61
tsae,-5.0,4,7,50,-3,61
tsae,-4.0,2,5,54,-3,61
tsae,-3.0,2,7,52,-5,61
tsae,-2.0,1,5,55,-4,61
tsae,-1.0,0,5,56,-5,61
tsae,-0.5,1,5,55,-4,61
tsae,0.0,0,0,61,0,61
tsae,0.5,2,3,56,-1,61
tsae,1.0,1,3,57,-2,61
tsae,2.0,4,4,53,0,61
tsae,3.0,3,9,49,-6,61
tsae,4.0,3,6,52,-3,61
tsae,5.0,4,9,48,-5,61
tsae,6.0,2,9,50,-7,61
tsae,7.0,5,10,46,-5,61
tsae,8.0,3,8,50,-5,61
tsae,10.0,2,10,49,-8,61
tsae,12.0,1,14,46,-13,61
tsae,16.0,0,22,39,-22,61
txc,-16.0,0,36,25,-36,61
txc,-12.0,1,32,28,-31,61
txc,-10.0,4,25,32,-21,61
txc,-8.0,7,12,42,-5,61
txc,-7.0,1,8,52,-7,61
txc,-6.0,3,7,51,-4,61
txc,-5.0,5,5,51,0,61
txc,-4.0,2,3,56,-1,61
txc,-3.0,1,4,56,-3,61
txc,-2.0,3,2,56,1,61
txc,-1.0,2,3,56,-1,61
txc,-0.5,3,5,53,-2,61
txc,0.0,0,0,61,0,61
txc,0.5,1,4,56,-3,61
txc,1.0,3,6,52,-3,61
txc,2.0,2,4,55,-2,61
txc,3.0,1,7,53,-6,61
txc,4.0,0,6,55,-6,61
txc,5.0,3,9,49,-6,61
txc,6.0,0,13,48,-13,61
txc,7.0,0,15,46,-15,61
txc,8.0,0,18,43,-18,61
txc,10.0,0,29,32,-29,61
txc,12.0,0,31,30,-31,61
txc,16.0,0,36,25,-36,61
txc_h8,-16.0,0,35,26,-35,61
txc_h8,-12.0,0,20,41,-20,61
txc_h8,-10.0,3,17,41,-14,61
txc_h8,-8.0,3,7,51,-4,61
txc_h8,-7.0,3,8,50,-5,61
txc_h8,-6.0,3,7,51,-4,61
txc_h8,-5.0,3,9,49,-6,61
txc_h8,-4.0,4,7,50,-3,61
txc_h8,-3.0,4,7,50,-3,61
txc_h8,-2.0,3,8,50,-5,61
txc_h8,-1.0,6,6,49,0,61
txc_h8,-0.5,2,2,57,0,61
txc_h8,0.0,0,0,61,0,61
txc_h8,0.5,1,4,56,-3,61
txc_h8,1.0,2,5,54,-3,61
txc_h8,2.0,2,6,53,-4,61
txc_h8,3.0,6,8,47,-2,61
txc_h8,4.0,4,8,49,-4,61
txc_h8,5.0,4,8,49,-4,61
txc_h8,6.0,3,7,51,-4,61
txc_h8,7.0,4,9,48,-5,61
txc_h8,8.0,5,14,42,-9,61
txc_h8,10.0,3,16,42,-13,61
txc_h8,12.0,1,22,38,-21,61
txc_h8,16.0,0,35,26,-35,61
